Age ,Gender,heard_CCM_website,heard_community_event,heard_current_student,heard_family_friend_member,heard_from_high_school,interested_computing_App_Dev,interested_computing_Comp_Prog,interested_computing_CyberSec,interested_computing_Data_Anal,interested_computing_Game_Design,interested_computing_ML_AI,interested_computing_web_dev,interest_CS_IT_GameDev_scale,Timestamp,impact_family_friend_influence,impact_affordable_cost,impact_choice_programs,impact_college_reputation,impact_online_offerings,scholarships,impact_transfer_student,motivation_professional_dev,motivation_keep_computing_skills_current,current_enrolled_course
19-20,Man,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,3,2024/09/19 10:34:09 PM AST,No Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,1,2024/09/19 10:34:24 PM AST,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No,No,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,1,2024/09/20 8:24:27 AM AST,,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Yes,No,CMP 126 Computer Technology and Applications
35-64,Woman,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,3,2024/09/20 3:12:26 PM AST,,High Impact,,,,,,No,No,CMP 126 Computer Technology and Applications
25-34,Woman,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,5,2024/09/20 8:42:54 PM AST,,High Impact,High Impact,High Impact,High Impact,,,Yes,Yes,CMP 126 Computer Technology and Applications
21-24,Woman,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,3,2024/09/20 10:55:34 PM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No,Yes,CMP 101 Computer Information Literacy
19-20,Woman,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,3,2024/09/20 11:02:45 PM AST,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,1,2024/09/20 11:07:16 PM AST,No Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,Yes,No,CMP 126 Computer Technology and Applications
19-20,Man,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,2024/09/21 5:06:23 PM AST,Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No,Yes,CMP 101 Computer Information Literacy
21-24,Woman,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,5,2024/09/22 10:08:19 PM AST,No Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Yes,Yes,CMP 126 Computer Technology and Applications
